id,slug,title,ministry,state,category,is_central,benefit_summary,rules_count,docs_count,application_url,description,last_verified_at
11,pm-matru-vandana-yojana,Pradhan Mantri Matru Vandana Yojana,Ministry of Women and Child Development,ALL_INDIA,Women & Child,1,"₹5,000 Direct Maternity Cash Incentive",3,3,https://pmmvy.wcd.gov.in,"Maternity benefit cash incentive of ₹5,000 provided in installments for pregnant women and lactating mothers for health and nutrition.",2026-08-01
12,pm-fasal-bima-yojana,Pradhan Mantri Fasal Bima Yojana,Ministry of Agriculture and Farmers Welfare,ALL_INDIA,Agriculture,1,Full Crop Damage Insurance Claim,1,4,https://pmfby.gov.in,"Comprehensive insurance coverage against crop failure and yield loss due to non-preventable natural calamities, pests, and diseases at low premiums (1.5%-2%).",2026-08-01
13,mp-ladli-behna-yojana,Mukhya Mantri Ladli Behna Yojana,"Department of Women and Child Development, Government of Madhya Pradesh",Madhya Pradesh,Women & Child,0,"₹1,250 Monthly Direct Cash Transfer",4,3,https://ladlibehna.mp.gov.in,"Flagship scheme providing ₹1,250 per month (₹15,000/year) direct benefit transfer into bank accounts of resident women in Madhya Pradesh aged 21-60.",2026-08-01
14,mp-kisan-kalyan-yojana,Mukhya Mantri Kisan Kalyan Yojana,"Department of Revenue, Government of Madhya Pradesh",Madhya Pradesh,Agriculture,0,"₹6,000 Annual MP State Farmer Grant",3,4,https://saara.mp.gov.in,"State financial assistance of ₹6,000 per year paid in three installments of ₹2,000, complementing PM-Kisan to provide a total ₹12,000 annual farmer support.",2026-08-01
15,mp-medhavi-vidyarthi-yojana,Mukhyamantri Medhavi Vidyarthi Yojana (MMVY),"Department of Technical Education and Skill Development, Government of Madhya Pradesh",Madhya Pradesh,Education,0,100% Higher Education Tuition Fee Waiver,3,4,http://scholarshipportal.mp.nic.in,"Complete tuition fee sponsorship for meritorious MP students pursuing engineering (IIT/NIT/JEE), medical (NEET), law (CLAT), or degree courses.",2026-08-01
16,mh-majhi-ladki-bahin,Mukhyamantri Majhi Ladki Bahin Yojana,"Department of Women and Child Development, Government of Maharashtra",Maharashtra,Women & Child,0,"₹1,500 Monthly Financial Assistance",4,4,https://ladakibahin.maharashtra.gov.in,"Direct financial assistance of ₹1,500 per month (₹18,000/year) deposited directly into bank accounts of eligible resident women in Maharashtra aged 21-65.",2026-08-01
201,assam-solar-krishi-pump-subsidy,Assam Solar Krishi Pump Subsidy,"Department of Agriculture & Farmers Welfare, Assam",Assam,Agriculture,0,Solar Krishi Pump Subsidy,3,3,https://serviceonline.gov.in/assam,Up to 90% capital subsidy for installing off-grid solar irrigation pumps. Implemented by Assam government for citizen welfare.,2026-08-01
17,mh-namo-shetkari-yojana,Namo Shetkari Mahasanman Nidhi Yojana,"Department of Agriculture, Government of Maharashtra",Maharashtra,Agriculture,0,"₹6,000 Annual Maharashtra Farmer Grant",2,4,https://mahadbt.maharashtra.gov.in,"Maharashtra state cash grant of ₹6,000 per year in three installments of ₹2,000, complementing PM-Kisan for total ₹12,000 farmer income support.",2026-08-01
18,ka-gruha-lakshmi-scheme,Gruha Lakshmi Scheme,"Department of Women and Child Development, Government of Karnataka",Karnataka,Women & Child,0,"₹2,000 Monthly Head of Household Grant",3,3,https://sevasindhugs.karnataka.gov.in,"Monthly financial assistance of ₹2,000 (₹24,000/year) transferred directly into bank accounts of female heads of household in Karnataka.",2026-08-01
19,ka-yuva-nidhi-scheme,Yuva Nidhi Scheme,"Department of Skill Development, Entrepreneurship and Livelihood, Government of Karnataka",Karnataka,Employment & Skills,0,"₹3,000 Monthly Unemployment Allowance",3,4,https://sevasindhugs.karnataka.gov.in,"Monthly unemployment stipend of ₹3,000 for degree holders and ₹1,500 for diploma holders who completed education in the current academic year and remain unemployed.",2026-08-01
20,andhra-pradesh-kisan-samriddhi-crop-assistance,Andhra Pradesh Kisan Samriddhi & Crop Assistance,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Kisan Samriddhi & Crop Assistance,3,3,https://serviceonline.gov.in/andhra-pradesh,"Financial input subsidy for seed, fertilizer, and organic cultivation equipment. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
21,andhra-pradesh-solar-krishi-pump-subsidy,Andhra Pradesh Solar Krishi Pump Subsidy,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Solar Krishi Pump Subsidy,3,3,https://serviceonline.gov.in/andhra-pradesh,Up to 90% capital subsidy for installing off-grid solar irrigation pumps. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
22,andhra-pradesh-horticulture-drip-irrigation-grant,Andhra Pradesh Horticulture & Drip Irrigation Grant,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Horticulture & Drip Irrigation Grant,3,3,https://serviceonline.gov.in/andhra-pradesh,"Direct subsidy for drip, sprinkler, and precision micro-irrigation installation. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
23,andhra-pradesh-dairy-cattle-development-incentive,Andhra Pradesh Dairy & Cattle Development Incentive,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Dairy & Cattle Development Incentive,3,3,https://serviceonline.gov.in/andhra-pradesh,Financial assistance for purchasing high-yield milch cows and buffaloes. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
24,andhra-pradesh-fodder-cultivation-animal-care-grant,Andhra Pradesh Fodder Cultivation & Animal Care Grant,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Fodder Cultivation & Animal Care Grant,3,3,https://serviceonline.gov.in/andhra-pradesh,"Subsidized silage, quality seeds, and livestock health vaccination support. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
25,andhra-pradesh-fisheries-pond-biofloc-support,Andhra Pradesh Fisheries Pond & Biofloc Support,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Fisheries Pond & Biofloc Support,3,3,https://serviceonline.gov.in/andhra-pradesh,"Capital grant for biofloc fish farming, fingerling supply, and aerators. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
26,andhra-pradesh-soil-health-organic-farming-mission,Andhra Pradesh Soil Health & Organic Farming Mission,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Soil Health & Organic Farming Mission,3,3,https://serviceonline.gov.in/andhra-pradesh,Free soil nutrient testing kit and bio-compost financial top-up grant. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
27,andhra-pradesh-farm-mechanization-rotavator-subsidy,Andhra Pradesh Farm Mechanization & Rotavator Subsidy,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Farm Mechanization & Rotavator Subsidy,3,3,https://serviceonline.gov.in/andhra-pradesh,"Up to 50% subsidy on modern harvesters, rotavators, and custom hiring centers. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
28,andhra-pradesh-post-matric-merit-scholarship,Andhra Pradesh Post-Matric Merit Scholarship,"Department of Higher & School Education, Andhra Pradesh",Andhra Pradesh,Education,0,Post-Matric Merit Scholarship,3,4,https://serviceonline.gov.in/andhra-pradesh,Tuition fee waiver and maintenance stipend for higher collegiate education. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
29,andhra-pradesh-free-digital-tablet-laptop-distribution,Andhra Pradesh Free Digital Tablet & Laptop Distribution,"Department of Higher & School Education, Andhra Pradesh",Andhra Pradesh,Education,0,Free Digital Tablet & Laptop Distribution,3,4,https://serviceonline.gov.in/andhra-pradesh,High-speed digital learning devices distributed to meritorious board students. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
30,andhra-pradesh-competitive-exam-coaching-assistance,Andhra Pradesh Competitive Exam Coaching Assistance,"Department of Higher & School Education, Andhra Pradesh",Andhra Pradesh,Education,0,Competitive Exam Coaching Assistance,3,4,https://serviceonline.gov.in/andhra-pradesh,"100% sponsored classroom coaching for UPSC, PSC, JEE, and NEET exams. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
31,andhra-pradesh-girl-child-higher-education-incentive,Andhra Pradesh Girl Child Higher Education Incentive,"Department of Higher & School Education, Andhra Pradesh",Andhra Pradesh,Education,0,Girl Child Higher Education Incentive,3,4,https://serviceonline.gov.in/andhra-pradesh,Direct milestone grant upon enrolling in undergraduate degree programs. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
32,andhra-pradesh-technical-polytechnic-skill-stipend,Andhra Pradesh Technical & Polytechnic Skill Stipend,"Department of Higher & School Education, Andhra Pradesh",Andhra Pradesh,Education,0,Technical & Polytechnic Skill Stipend,3,4,https://serviceonline.gov.in/andhra-pradesh,Monthly allowance for students pursuing diploma and industrial training. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
33,andhra-pradesh-overseas-education-scholarship-for-ews,Andhra Pradesh Overseas Education Scholarship for EWS,"Department of Higher & School Education, Andhra Pradesh",Andhra Pradesh,Education,0,Overseas Education Scholarship for EWS,3,4,https://serviceonline.gov.in/andhra-pradesh,Educational loan interest subsidy for foreign universities. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
34,andhra-pradesh-special-education-aid-for-divyang-students,Andhra Pradesh Special Education Aid for Divyang Students,"Department of Higher & School Education, Andhra Pradesh",Andhra Pradesh,Education,0,Special Education Aid for Divyang Students,3,4,https://serviceonline.gov.in/andhra-pradesh,"Assistive braille, hearing aids, and transport allowance for disabled students. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
35,andhra-pradesh-matru-kalyan-nutrition-dbt,Andhra Pradesh Matru Kalyan & Nutrition DBT,"Department of Women & Child Development, Andhra Pradesh",Andhra Pradesh,Women & Child,0,Matru Kalyan & Nutrition DBT,2,4,https://serviceonline.gov.in/andhra-pradesh,Conditional cash transfer across pregnancy trimesters and post-natal care. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
36,andhra-pradesh-mahila-swavalamban-livelihood-grant,Andhra Pradesh Mahila Swavalamban Livelihood Grant,"Department of Women & Child Development, Andhra Pradesh",Andhra Pradesh,Women & Child,0,Mahila Swavalamban Livelihood Grant,2,4,https://serviceonline.gov.in/andhra-pradesh,Revolving seed fund for women Self-Help Groups (SHGs) to start enterprises. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
37,andhra-pradesh-kanya-vivah-marriage-assistance,Andhra Pradesh Kanya Vivah & Marriage Assistance,"Department of Women & Child Development, Andhra Pradesh",Andhra Pradesh,Women & Child,0,Kanya Vivah & Marriage Assistance,2,4,https://serviceonline.gov.in/andhra-pradesh,Direct financial grant for marriage of daughters from economically weaker families. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
38,andhra-pradesh-working-women-hostel-transport-subsidy,Andhra Pradesh Working Women Hostel & Transport Subsidy,"Department of Women & Child Development, Andhra Pradesh",Andhra Pradesh,Women & Child,0,Working Women Hostel & Transport Subsidy,2,4,https://serviceonline.gov.in/andhra-pradesh,Subsidized secure safe housing and monthly urban commute pass. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
39,andhra-pradesh-single-mother-destitute-women-pension,Andhra Pradesh Single Mother & Destitute Women Pension,"Department of Women & Child Development, Andhra Pradesh",Andhra Pradesh,Women & Child,0,Single Mother & Destitute Women Pension,2,4,https://serviceonline.gov.in/andhra-pradesh,Monthly social security pension for widowed and abandoned women. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
40,andhra-pradesh-sukanya-samriddhi-high-interest-top-up,Andhra Pradesh Sukanya Samriddhi High-Interest Top-Up,"Department of Women & Child Development, Andhra Pradesh",Andhra Pradesh,Women & Child,0,Sukanya Samriddhi High-Interest Top-Up,2,4,https://serviceonline.gov.in/andhra-pradesh,State government interest subsidy top-up on girl child savings accounts. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
41,andhra-pradesh-universal-cashless-health-insurance,Andhra Pradesh Universal Cashless Health Insurance,"Department of Health & Family Welfare, Andhra Pradesh",Andhra Pradesh,Healthcare,0,Universal Cashless Health Insurance,2,3,https://serviceonline.gov.in/andhra-pradesh,Annual cashless hospitalization and surgical treatment cover in network hospitals. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
42,andhra-pradesh-critical-illness-relief-fund-cancer-kidney,Andhra Pradesh Critical Illness Relief Fund (Cancer & Kidney),"Department of Health & Family Welfare, Andhra Pradesh",Andhra Pradesh,Healthcare,0,Critical Illness Relief Fund (Cancer & Kidney),2,3,https://serviceonline.gov.in/andhra-pradesh,"One-time financial relief grant for dialysis, chemotherapy, and heart surgery. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
43,andhra-pradesh-free-diagnostic-tests-medicine-scheme,Andhra Pradesh Free Diagnostic Tests & Medicine Scheme,"Department of Health & Family Welfare, Andhra Pradesh",Andhra Pradesh,Healthcare,0,Free Diagnostic Tests & Medicine Scheme,2,3,https://serviceonline.gov.in/andhra-pradesh,100% free prescription drugs and pathology tests at government clinics. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
44,andhra-pradesh-senior-citizen-specialized-geriatric-care,Andhra Pradesh Senior Citizen Specialized Geriatric Care,"Department of Health & Family Welfare, Andhra Pradesh",Andhra Pradesh,Healthcare,0,Senior Citizen Specialized Geriatric Care,2,3,https://serviceonline.gov.in/andhra-pradesh,"Free cataract surgeries, hearing aids, and doorstep chronic care medicine. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
45,andhra-pradesh-emergency-accidental-trauma-insurance,Andhra Pradesh Emergency Accidental Trauma Insurance,"Department of Health & Family Welfare, Andhra Pradesh",Andhra Pradesh,Healthcare,0,Emergency Accidental Trauma Insurance,2,3,https://serviceonline.gov.in/andhra-pradesh,Immediate cashless golden-hour emergency trauma care coverage. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
46,andhra-pradesh-old-age-social-security-pension,Andhra Pradesh Old Age Social Security Pension,"Department of Social Justice & Empowerment, Andhra Pradesh",Andhra Pradesh,Social Welfare,0,Old Age Social Security Pension,2,4,https://serviceonline.gov.in/andhra-pradesh,Monthly direct benefit transfer pension for elderly citizens aged 60 and above. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
47,andhra-pradesh-divyangjan-disability-monthly-pension,Andhra Pradesh Divyangjan Disability Monthly Pension,"Department of Social Justice & Empowerment, Andhra Pradesh",Andhra Pradesh,Social Welfare,0,Divyangjan Disability Monthly Pension,2,4,https://serviceonline.gov.in/andhra-pradesh,Monthly financial support and motorized tricycle allowance for disabled persons. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
48,andhra-pradesh-antyodaya-subsidized-food-security,Andhra Pradesh Antyodaya Subsidized Food Security,"Department of Social Justice & Empowerment, Andhra Pradesh",Andhra Pradesh,Social Welfare,0,Antyodaya Subsidized Food Security,2,4,https://serviceonline.gov.in/andhra-pradesh,Subsidized monthly ration of 35kg foodgrains for poorest-of-poor households. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
49,andhra-pradesh-sanitation-workers-rehabilitation-grant,Andhra Pradesh Sanitation Workers Rehabilitation Grant,"Department of Social Justice & Empowerment, Andhra Pradesh",Andhra Pradesh,Social Welfare,0,Sanitation Workers Rehabilitation Grant,3,4,https://serviceonline.gov.in/andhra-pradesh,Capital subsidy and skill retraining for sanitary workers and sewer workers. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
50,andhra-pradesh-tribal-livelihood-forest-produce-grant,Andhra Pradesh Tribal Livelihood & Forest Produce Grant,"Department of Social Justice & Empowerment, Andhra Pradesh",Andhra Pradesh,Social Welfare,0,Tribal Livelihood & Forest Produce Grant,3,4,https://serviceonline.gov.in/andhra-pradesh,Direct procurement support and value addition subsidy for minor forest produce. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
51,andhra-pradesh-youth-apprenticeship-monthly-stipend,Andhra Pradesh Youth Apprenticeship Monthly Stipend,"Department of Skill Development & Employment, Andhra Pradesh",Andhra Pradesh,Employment & Skills,0,Youth Apprenticeship Monthly Stipend,3,3,https://serviceonline.gov.in/andhra-pradesh,Direct government stipend top-up for technical industrial apprenticeships. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
52,andhra-pradesh-artisan-craftsman-modern-tool-kit-grant,Andhra Pradesh Artisan & Craftsman Modern Tool Kit Grant,"Department of Skill Development & Employment, Andhra Pradesh",Andhra Pradesh,Employment & Skills,0,Artisan & Craftsman Modern Tool Kit Grant,3,3,https://serviceonline.gov.in/andhra-pradesh,Free motorized toolkits and collateral-free micro credit for traditional artisans. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
53,andhra-pradesh-rural-youth-driving-heavy-machinery-training,Andhra Pradesh Rural Youth Driving & Heavy Machinery Training,"Department of Skill Development & Employment, Andhra Pradesh",Andhra Pradesh,Employment & Skills,0,Rural Youth Driving & Heavy Machinery Training,3,3,https://serviceonline.gov.in/andhra-pradesh,100% sponsored commercial vehicle and excavator driver training. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
54,andhra-pradesh-it-emerging-tech-bootcamp-voucher,Andhra Pradesh IT & Emerging Tech Bootcamp Voucher,"Department of Skill Development & Employment, Andhra Pradesh",Andhra Pradesh,Employment & Skills,0,IT & Emerging Tech Bootcamp Voucher,3,3,https://serviceonline.gov.in/andhra-pradesh,"Full tuition sponsorship for AI, Cloud, and Software certification bootcamps. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
55,andhra-pradesh-self-employment-micro-credit-guarantee,Andhra Pradesh Self-Employment Micro-Credit Guarantee,"Department of Skill Development & Employment, Andhra Pradesh",Andhra Pradesh,Employment & Skills,0,Self-Employment Micro-Credit Guarantee,3,3,https://serviceonline.gov.in/andhra-pradesh,Collateral-free subsidized loan up to ₹5 Lakh for starting local enterprises. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
56,andhra-pradesh-pucca-house-construction-subsidy,Andhra Pradesh Pucca House Construction Subsidy,"Department of Housing & Urban Development, Andhra Pradesh",Andhra Pradesh,Housing,0,Pucca House Construction Subsidy,2,4,https://serviceonline.gov.in/andhra-pradesh,Direct installment financial grant for building disaster-resilient pucca home. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
57,andhra-pradesh-rooftop-solar-green-energy-assistance,Andhra Pradesh Rooftop Solar & Green Energy Assistance,"Department of Housing & Urban Development, Andhra Pradesh",Andhra Pradesh,Housing,0,Rooftop Solar & Green Energy Assistance,2,4,https://serviceonline.gov.in/andhra-pradesh,Capital subsidy for grid-connected rooftop solar installation for homeowners. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
58,andhra-pradesh-slum-rehabilitation-ews-flat-allocation,Andhra Pradesh Slum Rehabilitation & EWS Flat Allocation,"Department of Housing & Urban Development, Andhra Pradesh",Andhra Pradesh,Housing,0,Slum Rehabilitation & EWS Flat Allocation,2,4,https://serviceonline.gov.in/andhra-pradesh,Subsidized ownership allotment of 1BHK flats with basic civic amenities. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
59,andhra-pradesh-rural-toilet-water-tap-incentive,Andhra Pradesh Rural Toilet & Water Tap Incentive,"Department of Housing & Urban Development, Andhra Pradesh",Andhra Pradesh,Housing,0,Rural Toilet & Water Tap Incentive,2,4,https://serviceonline.gov.in/andhra-pradesh,Financial assistance for individual household latrines and clean piped tap. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
60,andhra-pradesh-micro-enterprise-collateral-free-loan,Andhra Pradesh Micro Enterprise Collateral-Free Loan,"Department of MSME & Industries, Andhra Pradesh",Andhra Pradesh,Business & Finance,0,Micro Enterprise Collateral-Free Loan,3,4,https://serviceonline.gov.in/andhra-pradesh,Guaranteed working capital and equipment loan up to ₹10 Lakh at subsidized interest. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
61,andhra-pradesh-women-entrepreneur-startup-grant,Andhra Pradesh Women Entrepreneur Startup Grant,"Department of MSME & Industries, Andhra Pradesh",Andhra Pradesh,Business & Finance,0,Women Entrepreneur Startup Grant,3,4,https://serviceonline.gov.in/andhra-pradesh,Seed funding capital grant for innovative women-founded MSME ventures. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
62,andhra-pradesh-export-promotion-quality-certification-subsidy,Andhra Pradesh Export Promotion & Quality Certification Subsidy,"Department of MSME & Industries, Andhra Pradesh",Andhra Pradesh,Business & Finance,0,Export Promotion & Quality Certification Subsidy,3,4,https://serviceonline.gov.in/andhra-pradesh,"Reimbursement for ISO, ZED, and international trade mark registration costs. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
63,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,Andhra Pradesh Credit Linked Capital Subsidy for Tech Upgradation,"Department of MSME & Industries, Andhra Pradesh",Andhra Pradesh,Business & Finance,0,Credit Linked Capital Subsidy for Tech Upgradation,3,4,https://serviceonline.gov.in/andhra-pradesh,15% upfront capital subsidy for machinery modernization in manufacturing. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
64,andhra-pradesh-e-vehicle-green-mobility-subsidy,Andhra Pradesh E-Vehicle & Green Mobility Subsidy,"Department of Environment, Forests & Climate, Andhra Pradesh",Andhra Pradesh,General,0,E-Vehicle & Green Mobility Subsidy,2,3,https://serviceonline.gov.in/andhra-pradesh,Direct cash incentive on purchase of electric 2-wheelers and 3-wheelers. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
65,andhra-pradesh-rainwater-harvesting-ground-water-recharge-grant,Andhra Pradesh Rainwater Harvesting & Ground Water Recharge Grant,"Department of Environment, Forests & Climate, Andhra Pradesh",Andhra Pradesh,General,0,Rainwater Harvesting & Ground Water Recharge Grant,2,3,https://serviceonline.gov.in/andhra-pradesh,Subsidized rooftop rainwater harvesting system for individual residences. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
66,andhra-pradesh-bio-gas-cattle-dung-renewable-plant-subsidy,Andhra Pradesh Bio-Gas & Cattle Dung Renewable Plant Subsidy,"Department of Environment, Forests & Climate, Andhra Pradesh",Andhra Pradesh,General,0,Bio-Gas & Cattle Dung Renewable Plant Subsidy,3,3,https://serviceonline.gov.in/andhra-pradesh,Financial support for installing domestic Gobar-Dhan biogas units. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
67,andhra-pradesh-phase-2-kisan-samriddhi-crop-assistance,Andhra Pradesh Phase-2 Kisan Samriddhi & Crop Assistance,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Kisan Samriddhi & Crop Assistance,3,3,https://serviceonline.gov.in/andhra-pradesh,"Financial input subsidy for seed, fertilizer, and organic cultivation equipment. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
68,andhra-pradesh-phase-2-solar-krishi-pump-subsidy,Andhra Pradesh Phase-2 Solar Krishi Pump Subsidy,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Solar Krishi Pump Subsidy,3,3,https://serviceonline.gov.in/andhra-pradesh,Up to 90% capital subsidy for installing off-grid solar irrigation pumps. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
69,andhra-pradesh-phase-2-horticulture-drip-irrigation-grant,Andhra Pradesh Phase-2 Horticulture & Drip Irrigation Grant,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Horticulture & Drip Irrigation Grant,3,3,https://serviceonline.gov.in/andhra-pradesh,"Direct subsidy for drip, sprinkler, and precision micro-irrigation installation. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
70,andhra-pradesh-phase-2-dairy-cattle-development-incentive,Andhra Pradesh Phase-2 Dairy & Cattle Development Incentive,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Dairy & Cattle Development Incentive,3,3,https://serviceonline.gov.in/andhra-pradesh,Financial assistance for purchasing high-yield milch cows and buffaloes. Implemented by Andhra Pradesh government for citizen welfare.,2026-08-01
71,andhra-pradesh-phase-2-fodder-cultivation-animal-care-grant,Andhra Pradesh Phase-2 Fodder Cultivation & Animal Care Grant,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",Andhra Pradesh,Agriculture,0,Fodder Cultivation & Animal Care Grant,3,3,https://serviceonline.gov.in/andhra-pradesh,"Subsidized silage, quality seeds, and livestock health vaccination support. Implemented by Andhra Pradesh government for citizen welfare.",2026-08-01
